Entry, Register(Num), Data Label, Unit, Scale, Access                              Total Entries: 1072

    1, 30385(1), System Status, , x1, RO
    2, 30386(21), Battery Name (Battery Configuration), , x1, RO
    3, 31058(2), Battery Time Remaining (UPS 12-540MR), sec, x1, RO
    4, 31122(2), Battery Discharge Time (UPS 12-540MR), sec, x1, RO
    5, 31186(1), Battery Rating (Battery Configuration), AH, x1, RO
    6, 31218(1), Position of Battery (UPS 12-540MR)
    7, 31250(21), Battery String Name (String Configuration), , x1, RO
    8, 31922(1), String Ambient Temperature (UPS 12-540MR, index [1]), deg C, x10, RO
    9, 31954(1), String Ambient Temperature (UPS 12-540MR, index [2]), deg C, x10, RO
   10, 31986(1), String Ambient Temperature (UPS 12-540MR, index [1]), deg F, x10, RO
   11, 32018(1), String Ambient Temperature (UPS 12-540MR, index [2]), deg F, x10, RO
   12, 32050(1), String Overall Voltage (UPS 12-540MR), VDC, x10, RO
   13, 32082(1), String Current (UPS 12-540MR), A DC, x1, RO
   14, 32114(1), Float Current (UPS 12-540MR), mA DC, x1, RO
   15, 32146(1), Ripple Current (UPS 12-540MR), A AC, x1, RO
   16, 32178(1), Total Active Alarms on a Battery String (UPS 12-540MR), , x1, RO
   17, 32242(2), Battery String Time-To-Go (State Of String), min, x1, RO
   18, 32306(1), Amp-Hours Remaining in Battery String (State Of String), AH, x1, RO
   19, 32338(2), Battery String Discharge Time (UPS 12-540MR), sec, x1, RO
   20, 32402(1), Low Ambient Temperature Global Threshold (String Alarm Thresholds), deg C, x10, RO
   21, 32434(1), Low Ambient Temperature Global Threshold (String Alarm Thresholds), deg F, x10, RO
   22, 32466(1), High Ambient Temperature Global Threshold (String Alarm Thresholds), deg C, x10, RO
   23, 32498(1), High Ambient Temperature Global Threshold (String Alarm Thresholds), deg F, x10, RO
   24, 32530(1), Battery String Overall Voltage Low Threshold (String Alarm Thresholds), VDC, x10, RO
   25, 32562(1), Battery String Overall Voltage High Threshold (String Alarm Thresholds), VDC, x10, RO
   26, 32594(1), Battery String Current High Threshold (String Alarm Thresholds), A DC, x1, RO
   27, 32626(1), Battery String Float Current Low Threshold (String Alarm Thresholds), mA DC, x1, RO
   28, 32658(1), Battery String Float Current High Threshold (String Alarm Thresholds), mA DC, x1, RO
   29, 32690(1), Battery String Ripple Current High Threshold (String Alarm Thresholds), A AC, x1, RO
   30, 32722(1), Cell Voltage Low Global Threshold (String Alarm Thresholds), VDC, x1000, RO
   31, 32754(1), Cell Voltage High Global Threshold (String Alarm Thresholds), VDC, x1000, RO
   32, 32786(1), Cell Temperature Low Global Threshold (String Alarm Thresholds), deg C, x10, RO
   33, 32818(1), Cell Temperature Low Global Threshold (String Alarm Thresholds), deg F, x10, RO
   34, 32850(1), Cell Temperature High Global Threshold (String Alarm Thresholds), deg C, x10, RO
   35, 32882(1), Cell Temperature High Global Threshold (String Alarm Thresholds), deg F, x10, RO
   36, 32914(1), Internal Resistance Low Global Threshold (String Alarm Thresholds), microOhm, x1, RO
   37, 32946(1), Internal Resistance High Global Threshold (String Alarm Thresholds), microOhm, x1, RO
   38, 32978(1), Intercell Resistance High Global Threshold (String Alarm Thresholds), microOhm, x1, RO
   39, 33010(1), Intertier Resistance High Global Threshold (String Alarm Thresholds), microOhm, x1, RO
   40, 33042(1), Cell to Cell Temperature Deviation Threshold (String Alarm Thresholds), deg C, x10, RO
   41, 33074(1), Cell to Cell Temperature Deviation Threshold (String Alarm Thresholds), deg F, x10, RO
   42, 33106(1), Cell to Ambient Temperature Deviation Threshold (String Alarm Thresholds), deg C, x10, RO
   43, 33138(1), Cell to Ambient Temperature Deviation Threshold (String Alarm Thresholds), deg F, x10, RO
   44, 33170(2), Installation Date (String Configuration), , x1, RO
   45, 33234(1), Cell/Monobloc Rating (String Configuration), AH, x1, RO
   46, 33266(1), Discharge Low Cell Voltage Threshold (Discharge Thresholds), VDC, x1000, RO
   47, 33298(1), Discharge Low Overall Voltage Threshold (Discharge Thresholds), VDC, x10, RO
   48, 33330(1), Discharge Battery String Current High Threshold (Discharge Thresholds), A DC, x1, RO
   49, 33362(1), Discharge Maximum Time (Discharge Thresholds), min, x1, RO
   50, 33394(2), Startup Date (String Startup Information), , x1, RO
   51, 33458(1), Battery String Commissioned Status (String Startup Information), , x1, RO
   52, 33522(1), Position of String (UPS 12-540MR)
   53, 33554(1), Index of parent Battery for String (UPS 12-540MR)
   54, 33586(1), Cell Voltage (Cell Entity [25]), VDC, x1000, RO
   55, 33587(1), Cell Voltage (Cell Entity [26]), VDC, x1000, RO
   56, 33588(1), Cell Voltage (Cell Entity [27]), VDC, x1000, RO
   57, 33589(1), Cell Voltage (Cell Entity [28]), VDC, x1000, RO
   58, 33590(1), Cell Voltage (Cell Entity [5]), VDC, x1000, RO
   59, 33591(1), Cell Voltage (Cell Entity [6]), VDC, x1000, RO
   60, 33592(1), Cell Voltage (Cell Entity [7]), VDC, x1000, RO
   61, 33593(1), Cell Voltage (Cell Entity [8]), VDC, x1000, RO
   62, 33594(1), Cell Voltage (Cell Entity [9]), VDC, x1000, RO
   63, 33595(1), Cell Voltage (Cell Entity [10]), VDC, x1000, RO
   64, 33596(1), Cell Voltage (Cell Entity [11]), VDC, x1000, RO
   65, 33597(1), Cell Voltage (Cell Entity [12]), VDC, x1000, RO
   66, 33598(1), Cell Voltage (Cell Entity [1]), VDC, x1000, RO
   67, 33599(1), Cell Voltage (Cell Entity [2]), VDC, x1000, RO
   68, 33600(1), Cell Voltage (Cell Entity [3]), VDC, x1000, RO
   69, 33601(1), Cell Voltage (Cell Entity [4]), VDC, x1000, RO
   70, 33602(1), Cell Voltage (Cell Entity [17]), VDC, x1000, RO
   71, 33603(1), Cell Voltage (Cell Entity [18]), VDC, x1000, RO
   72, 33604(1), Cell Voltage (Cell Entity [19]), VDC, x1000, RO
   73, 33605(1), Cell Voltage (Cell Entity [20]), VDC, x1000, RO
   74, 33606(1), Cell Voltage (Cell Entity [29]), VDC, x1000, RO
   75, 33607(1), Cell Voltage (Cell Entity [30]), VDC, x1000, RO
   76, 33608(1), Cell Voltage (Cell Entity [31]), VDC, x1000, RO
   77, 33609(1), Cell Voltage (Cell Entity [32]), VDC, x1000, RO
   78, 33610(1), Cell Voltage (Cell Entity [33]), VDC, x1000, RO
   79, 33611(1), Cell Voltage (Cell Entity [34]), VDC, x1000, RO
   80, 33612(1), Cell Voltage (Cell Entity [35]), VDC, x1000, RO
   81, 33613(1), Cell Voltage (Cell Entity [36]), VDC, x1000, RO
   82, 33614(1), Cell Voltage (Cell Entity [37]), VDC, x1000, RO
   83, 33615(1), Cell Voltage (Cell Entity [38]), VDC, x1000, RO
   84, 33616(1), Cell Voltage (Cell Entity [39]), VDC, x1000, RO
   85, 33617(1), Cell Voltage (Cell Entity [40]), VDC, x1000, RO
   86, 33618(1), Cell Voltage (Cell Entity [13]), VDC, x1000, RO
   87, 33619(1), Cell Voltage (Cell Entity [14]), VDC, x1000, RO
   88, 33620(1), Cell Voltage (Cell Entity [15]), VDC, x1000, RO
